0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
54,46,55,77,45,42,44,26,75,78,43,73,96,79,39,41,9,24,25,22,74,68,66,40,99,97,37,23,90,76,29,38,1,8,69,88,67,61,21,19,30,59,95,98,89,91,27,20,81,62,0,2,28,32,17,4,53,60,15,18,3,5,82,93,16,31,7,13,80,58,33,50,56,52,10,6,14,11,70,57,94,87,92,34,72,85,51,48,71,64,12,35,84,86,83,65,63,49,36,47
47,36,49,63,51,48,35,12,65,83,64,71,34,92,86,84,70,57,52,56,72,85,50,33,14,11,58,80,16,31,53,60,87,94,10,6,32,28,7,13,93,82,81,62,15,18,59,30,20,27,5,3,17,4,61,67,38,29,19,21,69,88,89,91,66,40,98,95,23,37,0,2,76,90,74,68,41,39,73,43,22,25,97,99,8,1,78,75,42,45,79,96,24,9,26,44,46,54,77,55
51,48,64,71,57,70,56,52,92,34,49,63,36,47,85,72,12,35,50,33,65,83,86,84,58,80,60,53,94,87,31,16,32,28,11,14,62,81,93,82,30,59,10,6,15,18,20,27,7,13,67,61,38,29,88,69,4,17,5,3,89,91,40,66,19,21,98,95,37,23,90,76,74,68,41,39,0,2,73,43,25,22,99,97,78,75,45,42,1,8,79,96,26,44,46,54,24,9,55,77
49,63,47,36,65,83,71,64,48,51,84,86,35,12,72,85,57,70,34,92,52,56,50,33,87,94,80,58,60,53,31,16,82,93,14,11,32,28,81,62,10,6,59,30,18,15,13,7,27,20,67,61,29,38,89,91,88,69,4,17,3,5,98,95,40,66,21,19,90,76,37,23,68,74,0,2,39,41,73,43,97,99,22,25,75,78,45,42,8,1,96,79,26,44,54,46,77,55,9,24
33,50,52,56,34,92,60,53,32,28,57,70,31,16,30,59,80,58,48,51,14,11,27,20,81,62,15,18,72,85,12,35,6,10,71,64,29,38,7,13,61,67,93,82,87,94,4,17,21,19,40,66,5,3,84,86,36,47,88,69,63,49,37,23,83,65,89,91,74,68,41,39,95,98,90,76,0,2,73,43,22,25,45,42,99,97,1,8,78,75,26,44,96,79,9,24,46,54,55,77
51,48,64,71,57,70,56,52,92,34,49,63,36,47,85,72,12,35,50,33,65,83,86,84,58,80,60,53,94,87,31,16,32,28,11,14,62,81,93,82,30,59,10,6,15,18,20,27,7,13,67,61,38,29,88,69,4,17,5,3,89,91,40,66,19,21,98,95,37,23,90,76,74,68,41,39,0,2,73,43,25,22,99,97,78,75,45,42,1,8,79,96,26,44,46,54,24,9,55,77
52,56,70,57,33,50,53,60,80,58,72,85,34,92,48,51,64,71,62,81,32,28,94,87,59,30,93,82,16,31,86,84,12,35,67,61,14,11,63,49,27,20,65,83,29,38,36,47,18,15,88,69,6,10,7,13,66,40,91,89,95,98,17,4,19,21,74,68,76,90,37,23,5,3,41,39,73,43,0,2,99,97,22,25,78,75,45,42,96,79,8,1,44,26,46,54,55,77,24,9
60,53,80,58,56,52,62,81,33,50,30,59,57,70,32,28,67,61,93,82,85,72,94,87,92,34,88,69,38,29,31,16,66,40,51,48,27,20,64,71,89,91,95,98,18,15,68,74,11,14,90,76,86,84,37,23,13,7,10,6,19,21,35,12,39,41,17,4,63,49,65,83,43,73,5,3,47,36,97,99,0,2,78,75,25,22,45,42,79,96,54,46,1,8,26,44,55,77,9,24
54,46,55,77,45,42,44,26,75,78,43,73,96,79,39,41,9,24,25,22,74,68,66,40,99,97,37,23,90,76,29,38,1,8,69,88,67,61,21,19,30,59,95,98,89,91,27,20,81,62,0,2,28,32,17,4,53,60,15,18,3,5,82,93,16,31,7,13,80,58,33,50,56,52,10,6,14,11,70,57,94,87,92,34,72,85,51,48,71,64,12,35,84,86,83,65,63,49,36,47
55,77,46,54,75,78,96,79,45,42,43,73,44,26,41,39,99,97,68,74,66,40,76,90,22,25,24,9,23,37,88,69,61,67,29,38,95,98,89,91,8,1,59,30,21,19,62,81,20,27,60,53,32,28,82,93,0,2,17,4,15,18,80,58,31,16,3,5,33,50,13,7,52,56,94,87,57,70,6,10,11,14,85,72,34,92,51,48,64,71,86,84,12,35,65,83,63,49,47,36
52,56,70,57,33,50,53,60,80,58,72,85,34,92,48,51,64,71,62,81,32,28,94,87,59,30,93,82,16,31,86,84,12,35,67,61,14,11,63,49,27,20,65,83,29,38,36,47,18,15,88,69,6,10,7,13,66,40,91,89,95,98,17,4,19,21,74,68,76,90,37,23,5,3,41,39,73,43,0,2,99,97,22,25,78,75,45,42,96,79,8,1,44,26,46,54,55,77,24,9
57,70,52,56,80,58,85,72,53,60,33,50,71,64,51,48,94,87,92,34,62,81,93,82,84,86,59,30,32,28,65,83,63,49,16,31,67,61,35,12,36,47,69,88,11,14,27,20,89,91,38,29,98,95,15,18,40,66,10,6,13,7,76,90,74,68,21,19,17,4,37,23,3,5,41,39,73,43,97,99,0,2,78,75,25,22,45,42,79,96,1,8,54,46,55,77,26,44,9,24
80,58,53,60,70,57,81,62,52,56,93,82,94,87,85,72,50,33,59,30,67,61,64,71,48,51,69,88,32,28,86,84,92,34,89,91,95,98,31,16,66,40,29,38,76,90,83,65,27,20,74,68,49,63,35,12,11,14,15,18,47,36,10,6,23,37,13,7,41,39,21,19,73,43,4,17,97,99,3,5,78,75,45,42,79,96,2,0,22,25,77,55,46,54,44,26,8,1,24,9
30,59,29,38,28,32,53,60,67,61,40,66,62,81,20,27,50,33,80,58,31,16,56,52,88,69,37,23,15,18,74,68,70,57,21,19,41,39,93,82,34,92,7,13,76,90,4,17,11,14,89,91,73,43,6,10,87,94,72,85,95,98,5,3,51,48,22,25,64,71,0,2,35,12,42,45,75,78,97,99,84,86,96,79,1,8,26,44,46,54,77,55,63,49,36,47,24,9,83,65
60,53,80,58,56,52,62,81,33,50,30,59,57,70,32,28,67,61,93,82,85,72,94,87,92,34,88,69,38,29,31,16,66,40,51,48,27,20,64,71,89,91,95,98,18,15,68,74,11,14,90,76,86,84,37,23,13,7,10,6,19,21,35,12,39,41,17,4,63,49,65,83,43,73,5,3,47,36,97,99,0,2,78,75,25,22,45,42,79,96,54,46,1,8,26,44,55,77,9,24
