,id,lat,long,num_road,id_node,class_i
303,HI8071b,116.43542,39.96489,3,3071,3
304,HI8050c,116.45,39.9508,4,3074,3
305,HI9002a,116.48347,39.88573,4,4001,6
306,HI9003a,116.48325,39.87525,4,4002,6
307,HI9004a,116.48277,39.87165,4,4003,6
308,HI9005a,116.47998,39.85457,4,4004,6
309,HI9006a,116.4739,39.848,4,4005,6
310,HI9007a,116.468,39.842,4,4006,6
311,HI9008a,116.46177,39.83437,4,4007,6
312,HI9009b,116.454,39.833,4,4008,6
313,HI9010b,116.44667,39.83148,4,4009,6
314,HI9011b,116.42957,39.83105,4,4010,6
315,HI9012b,116.422,39.83105,4,4011,6
316,HI9013b,116.4119,39.83107,4,4012,6
317,HI9014b,116.40462,39.8311,4,4013,6
318,HI9015b,116.38392,39.83063,4,4014,6
319,HI9016b,116.37598,39.83043,4,4015,6
320,HI9017b,116.36793,39.83022,4,4016,6
321,HI9018b,116.3592,39.82993,4,4017,6
322,HI9019b,116.35,39.82992,4,4018,6
323,HI9020b,116.34597,39.82997,4,4019,6
324,HI9066b,116.33397,39.82975,4,4020,6
325,HI9067b,116.32973,39.82953,4,4021,6
326,HI9068b,116.31895,39.82948,4,4022,6
327,HI9022b,116.2957,39.8295,4,4025,6
328,HI9069b,116.28667,39.82965,4,4026,6
329,HI9070c,116.27887,39.84217,4,4027,6
330,HI9023c,116.27563,39.86817,4,4028,6
331,HI9024c,116.27175,39.87545,4,4029,6
332,HI9025c,116.2687,39.88397,4,4030,6
333,HI9026c,116.2682,39.889,4,4031,6
334,HI9028c,116.26817,39.89558,4,4032,6
335,HI9029c,116.26817,39.90062,4,4033,6
336,HI9030c,116.26818,39.9088,4,4034,6
337,HI9031c,116.26842,39.91235,4,4035,6
338,HI9032c,116.26937,39.92667,4,4036,6
339,HI9071c,116.26922,39.92965,4,4037,6
340,HI9033c,116.26848,39.93547,4,4038,6
341,HI9034c,116.26843,39.94073,4,4039,6
342,HI9072c,116.26988,39.95235,4,4040,6
343,HI9035c,116.27,39.9584,4,4041,6
344,HI9036c,116.284,39.9783,4,4042,6
345,HI9037c,116.28902,39.98222,4,4043,6
346,HI9073b,116.32173,39.98445,4,4045,6
347,HI9038b,116.33395,39.98537,4,4046,3
348,HI9039b,116.34073,39.98505,4,4047,3
349,HI9040b,116.36,39.986,4,4048,3
350,HI9041b,116.3823,39.98635,4,4049,3
351,HI9042b,116.38907,39.98658,4,4050,3
352,HI9043b,116.3954,39.98677,4,4051,4
353,HI9044b,116.40772,39.98715,4,4052,4
354,HI9045b,116.41442,39.98737,4,4053,4
355,HI9046b,116.42428,39.98757,4,4054,4
356,HI9048c,116.44,39.9846,4,4056,4
357,HI9074b,116.46152,39.97097,4,4059,4
358,HI9049c,116.4735,39.96308,4,4060,4
359,HI9050c,116.47642,39.96112,4,4061,4
360,HI9051c,116.48323,39.95,4,4062,4
361,HI9052c,116.48357,39.94838,4,4063,4
362,HI9053c,116.48355,39.93435,4,4064,4
363,HI9054c,116.48355,39.92888,4,4065,4
364,HI9055c,116.48342,39.9169,4,4066,6
365,HI9077c,116.34207,39.86212,3,11001,2
366,HI7022c,116.34147,39.85725,3,11002,5
367,HI9057c,116.341,39.8531,3,11003,5
368,HI9078c,116.34042,39.84882,3,11004,5
369,HI8020c,116.33985,39.84058,4,11005,6
370,HI9079c,116.33955,39.83557,4,11006,6
371,HI2068d,116.34165,39.89682,3,21001,2
372,HI9080d,116.32888,39.8961,4,21002,2
373,HI9059d,116.3175,39.89578,3,21003,2
374,HI9060d,116.31118,39.89585,3,21004,1
375,HI7032a,116.34998,39.94593,3,31001,2
376,HI9061a,116.34887,39.95367,3,31002,3
377,HI9062a,116.34803,39.96037000000001,4,31003,3
378,HI9063a,116.348,39.9664,3,31005,3
379,HI8039a,116.34755,39.97122,4,31007,3
380,HI9064a,116.34752,39.97768,3,31009,3
381,HI9065a,116.34738,39.98195,3,31010,3
382,HI7032d,116.343,39.9387,3,41001,2
383,HI9088d,116.334,39.9373,3,41002,2
384,HI9090d,116.328,39.9371,3,41003,2
385,HI9091d,116.313,39.9383,4,41004,1
386,HI8030d,116.309,39.9393,3,41005,1
387,HI9093d,116.294,39.9447,4,41007,1
388,HI9094d,116.284,39.9463,3,41008,1
389,HI7035a,116.373,39.9517,3,51001,0
390,HI9081a,116.373,39.9569,3,51002,0
391,HI9082a,116.374,39.9604,5,51003,3
392,HI8068a,116.375,39.9725,3,51006,3
393,HI9084a,116.375,39.9756,3,51007,3
394,HI9085a,116.374,39.9787,3,51008,3
395,HI9087a,116.373,39.984,3,51010,3
396,HI2092a,116.301,39.9667,3,61001,1
397,HI9102a,116.294,39.9799,3,61004,1
398,HI9037a,116.293,39.9899,3,61005,1
399,HI9097a,116.29,39.9935,3,61006,1
400,HI9098a,116.286,39.9987,3,61007,1
401,HI9100a,116.282,40.0082,3,61009,1
