,0,det,node,class
210,44.44909511178902,HI8068a,51006,4
211,4.759443875234095,HI8068d,3062,4
212,5.202358912558423,HI8070b,3063,4
213,1.3812095533504953,HI8071b,3071,4
214,5.865726424970112,HI8072a,3035,1
215,36.4367589182882,HI8072c,3034,1
216,10.354676885926422,HI8073a,3036,1
217,13.431816709751878,HI8073c,3035,1
218,28.341266526408216,HI8074a,3004,4
219,4.5301576273535,HI8074c,3005,4
220,3.245555159824557,HI9001c,4001,5
221,1.795047087651384,HI9002a,4001,5
222,2.0475231817761226,HI9002c,4002,5
223,1.1065386306370852,HI9003a,4002,5
224,2.2799888878257475,HI9003c,4003,5
225,0.29948721977976794,HI9004a,4003,5
226,14.477421785783989,HI9004c,4004,5
227,4.26237423627653,HI9005a,4004,5
228,8.32418802466672,HI9005c,4005,5
229,6.2369010298007,HI9006a,4005,5
230,8.226554699757934,HI9006c,4006,5
231,5.23241749278491,HI9007a,4006,5
232,0.4672940675506141,HI9007d,4007,5
233,1.7993524968764947,HI9008a,4007,5
234,8.585881544671658,HI9008c,4008,5
235,10.016863176929844,HI9009b,4008,5
236,2.050564575325762,HI9009d,4009,5
237,0.10081767714143337,HI9010b,4009,5
238,3.6869954631407946,HI9010d,4010,5
239,6.050437893754552,HI9011b,4010,5
240,6.246045588386115,HI9011d,4011,5
241,12.156341060746126,HI9012b,4011,5
242,24.01072686307863,HI9012d,4012,5
243,14.726026285627288,HI9013b,4012,5
244,2.1584697143281852,HI9013d,4013,5
245,1.6220502682197717,HI9014b,4013,5
246,0.7170953961125275,HI9014d,4014,5
247,7.299420597949967,HI9015b,4014,5
248,10.22292639441183,HI9015d,4015,5
249,7.418290237232844,HI9016b,4015,5
250,1.766275053235849,HI9016d,4016,5
251,0.7486634527045135,HI9017b,4016,5
252,3.9129025354749287,HI9017d,4017,5
253,3.9709561118812045,HI9018b,4017,5
254,2.05053370066631,HI9018d,4018,5
255,5.648304463739897,HI9019b,4018,5
256,1.2365727544253917,HI9019d,4019,5
257,7.2830487437381475,HI9020a,11006,5
258,2.5965316554557143,HI9020b,4019,5
259,3.39445247252606,HI9020d,4020,5
260,2.220235069066251,HI9021d,4021,5
261,3.259111358192461,HI9022b,4025,5
262,2.0061281749459163,HI9022d,4022,5
263,3.5297229660322134,HI9023a,4029,5
264,4.5009115264379025,HI9023c,4028,5
265,3.894640054863641,HI9024a,4030,5
